system_id,replication_id,seed,event_time,event_name,customer_id,queue_length,scoops,flavors,peak_hours,bucket_levels,working_employees,chosen_stand
1,0,35,12.0,Working Employees,,,,,,,0.0,
1,0,35,12.01046701669179,Arrival,0.0,,1.0,['Chocolate'],,,,
1,0,35,12.01046701669179,Join Queue,0.0,1.0,,,,,,Stand
1,0,35,12.010555555555555,Order,0.0,,1.0,['Chocolate'],True,,,
1,0,35,12.016433158736382,Arrival,1.0,,2.0,"['Oreo', 'Fior di Latte']",,,,
1,0,35,12.016433158736382,Join Queue,1.0,1.0,,,,,,Stand
1,0,35,12.016666666666667,Order,1.0,,2.0,"['Oreo', 'Fior di Latte']",True,,,
1,0,35,12.019740854694241,Arrival,2.0,,3.0,"['Hazelnut', 'Snickers', 'Oreo']",,,,
1,0,35,12.019740854694241,Join Queue,2.0,1.0,,,,,,Stand
1,0,35,12.02,Order,2.0,,3.0,"['Hazelnut', 'Snickers', 'Oreo']",True,,,
1,0,35,12.024682274021076,Arrival,3.0,,2.0,"['Strawberry', 'Mango']",,,,
1,0,35,12.024682274021076,Join Queue,3.0,1.0,,,,,,Stand
1,0,35,12.027222222222223,Bucket Level,,,,,,{'Chocolate': 79},,
1,0,35,12.027222222222223,Processed,0.0,,,,,,,
1,0,35,12.036666666666667,Bucket Level,,,,,,{'Oreo': 79},,
1,0,35,12.036666666666667,Bucket Level,,,,,,{'Fior di Latte': 79},,
1,0,35,12.036666666666667,Processed,1.0,,,,,,,
1,0,35,12.043333333333333,Bucket Level,,,,,,{'Hazelnut': 79},,
1,0,35,12.043333333333333,Bucket Level,,,,,,{'Snickers': 79},,
1,0,35,12.043333333333333,Bucket Level,,,,,,{'Oreo': 78},,
1,0,35,12.043333333333333,Processed,2.0,,,,,,,
1,0,35,12.043888888888889,Leave,0.0,,,,,,,
1,0,35,12.043888888888889,Order,3.0,,2.0,"['Strawberry', 'Mango']",True,,,
1,0,35,12.046654488101066,Arrival,4.0,,1.0,['Pistachio'],,,,
1,0,35,12.046654488101066,Join Queue,4.0,1.0,,,,,,Stand
1,0,35,12.046654488101066,Arrival,5.0,,1.0,['Pistachio'],,,,
1,0,35,12.046654488101066,Join Queue,5.0,2.0,,,,,,Stand
1,0,35,12.053333333333333,Leave,1.0,,,,,,,
1,0,35,12.053333333333333,Order,4.0,,1.0,['Pistachio'],True,,,
1,0,35,12.06,Leave,2.0,,,,,,,
1,0,35,12.06,Order,5.0,,1.0,['Pistachio'],True,,,
1,0,35,12.06199329553146,Arrival,6.0,,1.0,['Fior di Latte'],,,,
1,0,35,12.06199329553146,Join Queue,6.0,1.0,,,,,,Stand
1,0,35,12.063888888888888,Bucket Level,,,,,,{'Strawberry': 79},,
1,0,35,12.063888888888888,Bucket Level,,,,,,{'Mango': 79},,
1,0,35,12.063888888888888,Processed,3.0,,,,,,,
1,0,35,12.066913065456307,Arrival,7.0,,5.0,"['Mars', 'Straciatela', 'Caramel', 'Caramel', 'Strawberry']",,,,
1,0,35,12.066913065456307,Join Queue,7.0,2.0,,,,,,Stand
1,0,35,12.07,Bucket Level,,,,,,{'Pistachio': 79},,
1,0,35,12.07,Processed,4.0,,,,,,,
